Name,Total Points from Summary,Sum of Fractal Host,Fractal Host,update?,Fractalgram Certification,Summary 4
Dan (Anubis),10,0,,,,Dan (Anubis)
Trislet,10,0,,,,Trislet
Iman,10,0,,,,Iman
Joel,10,0,,,,Joel
Nico,10,0,,,,Nico
Nate Dinero,8,0,,,,Nate Dinero
MsFathom,5,0,,,,MsFathom
Raqs (old wallet),0,0,,,,Raqs (old wallet)
RJ,0,0,,,,RJ
Christano,0,0,,,,Christano
J3nn (OneLOVE),0,0,,,,J3nn (OneLOVE)
john blackwell (old wallet),0,0,,,,john blackwell (old wallet)
Mojo The Ghost,0,0,,,,Mojo The Ghost
Paul Point,0,0,,,,Paul Point
Ritzy P,0,0,,,,Ritzy P
Nani,0,0,,,,Nani
Yoshiro Mare,0,0,,,,Yoshiro Mare
Steve Strange,0,0,,,,Steve Strange
Sven,0,0,,,,Sven
DopeStilo copy,0,0,,,,DopeStilo copy
Justin,,0,,,,
